"Frequency Output","Frequency Input","FCC Callsign",Agency/Category,Description,"Alpha Tag","PL Output Tone","PL Input Tone",Mode,"Class Station Code",Tag
128.825000,0.00000,,"Airports Aviation - Airlines","Flight Ops Int'l","Flight Ops I",,,AM,BM,Business
128.850000,0.00000,,"Airports Aviation - Airlines",Southwest,Southwest,,,AM,BM,Business
129.100000,0.00000,,"Airports Aviation - Airlines","JetBlue - Dispatch","JetBlue Disp",,,AM,BM,Business
129.150000,0.00000,,"Airports Aviation - Airlines","British Airways","British Airw",,,AM,BM,Business
129.200000,0.00000,,"Airports Aviation - Airlines","American - Ramp","AA Ramp",,,AM,BM,Business
129.225000,0.00000,,"Airports Aviation - Airlines","American - Ops / Ramp / Maintenance","AAL Ops Ramp",,,AM,BM,Business
129.250000,0.00000,,"Airports Aviation - Airlines",Frontier,FFT,,,AM,BM,Business
129.275000,0.00000,,"Airports Aviation - Airlines","Delta - Station Ops","DAL Ops",,,AM,BM,Business
129.300000,0.00000,,"Airports Aviation - Airlines","United - Operations","UAL Ops",,,AM,BM,Business
129.300000,0.00000,,"Airports Aviation - Airlines","United Airlines",United,,,AM,BM,Business
129.400000,0.00000,KJP8,"Airports Aviation - Airlines","ARINC San Francisco Radio","ARINC SF Radio",,,AM,BM,Business
129.425000,0.00000,,"Airports Aviation - Airlines","American - Maintenance","AA Maint",,,AM,BM,Business
129.425000,0.00000,,"Airports Aviation - Airlines",UPS,UPS,,,AM,BM,Business
129.600000,0.00000,,"Airports Aviation - Airlines","Alaska Airlines","Alaska Air",,,AM,BM,Business
129.650000,0.00000,,"Airports Aviation - Airlines","Delta - Operations","Delta Ops",,,AM,BM,Business
129.675000,0.00000,,"Airports Aviation - Airlines","Delta - Ramp Tower C15-C18, D1-11","DAL Twr",,,AM,BM,Business
129.700000,0.00000,KOX9,"Airports Aviation - Fixed Base Operators","SheltAir Aviation Services",SheltAir,,,AM,BM,Aircraft
129.825000,0.00000,,"Airports Aviation - Airlines","JetBlue - Maintenance",JetBlueMaint,,,AM,BM,Business
129.850000,0.00000,,"Airports Aviation - Airlines","American - Dispatch","AAL Dispatch",,,AM,BM,Business
129.850000,0.00000,,"Airports Aviation - Airlines","American - Dispatch","AA Disp",,,AM,BM,Business
129.875000,0.00000,,"Airports Aviation - Airlines","American Airlines - Ramp",American,,,AM,BM,Business
129.900000,0.00000,WHH9,"Airports Aviation - Airlines","ARINC New York Radio","ARINC NY Radio",,,AM,BM,Business
129.975000,0.00000,,"Airports Aviation - Airlines","Delta - Metering","Delta Meter",,,AM,BM,Business
130.100000,0.00000,,"Airports Aviation - Airlines","American Airlines - Operations",American,,,AM,BM,Business
130.125000,0.00000,,"Airports Aviation - Airlines","Swiss Airlines","Swiss Airlines",,,AM,BM,Business
130.175000,0.00000,,"Airports Aviation - Airlines",Spirit,Spirit,,,AM,BM,Business
130.275000,0.00000,,"Airports Aviation - Airlines",FedEx,FDX,,,AM,BM,Business
130.275000,0.00000,,"Airports Aviation - Airlines","Terminal 1 Ramp Ctrl","Terminal 1 R",,,AM,BM,Business
130.375000,0.00000,,"Airports Aviation - Airlines","United - Ramp Tower","UAL Ramp Twr",,,AM,BM,Business
130.400000,0.00000,KIY2,"Airports Aviation - Airlines",United,United,,,AM,BM,Business
130.600000,0.00000,,"Airports Aviation - Airlines","American Eagle","American Eag",,,AM,BM,Business
130.675000,0.00000,,"Airports Aviation - Airlines","Atlas Air","Atlas Air",,,AM,BM,Business
130.775000,0.00000,,"Airports Aviation - Airlines","Terminal 4 Ramp Ctrl","Terminal 4 R",,,AM,BM,Business
130.850000,0.00000,,"Airports Aviation - Airlines","American Airlines",American,,,AM,BM,Business
130.900000,0.00000,,"Airports Aviation - Airlines","Delta - Atlanta Radio - Dispatch","Delta Disp",,,AM,BM,Business
131.025000,0.00000,,"Airports Aviation - Airlines","JetBlue - Ramp Control","JetBlue Ramp",,,AM,BM,Business
131.350000,0.00000,,"Airports Aviation - Airlines","Delta - Terminal A - Delta Shuttle","Delta Shuttl",,,AM,BM,Business
131.375000,0.00000,,"Airports Aviation - Airlines",Delta,Delta,,,AM,BM,Business
131.400000,0.00000,,"Airports Aviation - Airlines",Cargoitalia,Cargoitalia,,,AM,BM,Business
131.475000,0.00000,,"Airports Aviation - Airlines","Delta Ramp Tower - C20-C34","DAL Twr",,,AM,BM,Business
131.500000,0.00000,,"Airports Aviation - Airlines","United Airlines",United,,,AM,BM,Business
131.600000,0.00000,,"Airports Aviation - Airlines","Air Wisconsin","Air Wisconsi",,,AM,BM,Business
131.675000,0.00000,,"Airports Aviation - Airlines","Delta - Mainteanance","Delta Maint",,,AM,BM,Business
131.775000,0.00000,,"Airports Aviation - Airlines",Lufthansa,Lufthansa,,,AM,BM,Business
131.850000,0.00000,,"Airports Aviation - Airlines","Delta - Mainteance","DAL Maint",,,AM,BM,Business
131.850000,0.00000,,"Airports Aviation - Airlines",Delta,Delta,,,AM,BM,Business
131.925000,0.00000,,"Airports Aviation - Airlines",FEDEX,FDX,,,AM,BM,Business
131.925000,0.00000,,"Airports Aviation - Airlines",FEDEX,FEDEX,,,AM,BM,Business
131.950000,0.00000,,"Airports Aviation - Airlines",Swissport,Swissport,,,AM,BM,Business
135.050000,0.00000,,"Airports Air Traffic Control","JFK Clearance Delivery","JFK Clearance",,,AM,BM,Aircraft
135.200000,0.00000,,"Airports Air Traffic Control","LGA Clearance Delivery","LGA Clear/Del",,,AM,BM,Aircraft
136.550000,0.00000,,"Airports Aviation - Airlines","JetBlue - Operations","JetBlue Ops",,,AM,BM,Business
136.600000,0.00000,,"Airports Aviation - Airlines",JetBlue,JBU,,,AM,BM,Business
147.315000,147.91500,KC2GOW,"2m Ham","KC2GOW Staten Island","KC2GOW 2m",,"118.8 PL",FM,RM,Ham
147.315000,147.91500,KC2GOW,"2m Ham","KC2GOW Staten Island","KC2GOW P25",,"293 NAC",P25,RM,Ham
151.115000,0.00000,KFT260,"Airports Parking","5-Star Parking Ch. 1","5-Star 1",,,FMN,B,Business
151.565000,160.09500,WQWW234,Hatzalah,"Hatzalah Williamsburg/Greenpoint","Hatzalah Wlmsbrg","186.2 PL",,FMN,RM,"EMS Dispatch"
152.330000,157.59000,KSI918,"Businesses Taxi and Limo Services","Rocapulco Car Service (Rockaway Park)",RocapulcoCar,"100.0 PL",,FMN,RM,Transportation
152.405000,0.00000,KEX426,"Businesses Taxi and Limo Services","Kelly's Car Service (Bayside)","Kellys Car","134 DPL",,FMN,BM,Transportation
152.450000,157.71000,WRBX544,Hatzalah,"Hatzalah EMS Staten Island","Hatzalah EMS SI","167.9 PL",,FMN,RM,"EMS Dispatch"
152.877500,0.00000,WQJJ612,Hatzalah,"Queens Hatzalah Aid","Hatzalah EMS QN","413 DPL",,FMN,RM,"EMS Dispatch"
152.982500,0.00000," ","Shomayah Services","Site 001 Brooklyn",,,,DMR,,TRS
153.012500,0.00000," ","Shomayah Services","Site 001 Brooklyn",,,,DMR,,TRS
153.042500,0.00000," ","Shomayah Services","Site 001 Brooklyn",,,,DMR,,TRS
153.072500,0.00000," ","Shomayah Services","Site 001 Brooklyn",,,,DMR,,TRS
153.102500,0.00000," ","Shomayah Services","Site 001 Brooklyn",,,,DMR,,TRS
153.710000,160.00500,WROS841,Hatzalah,"Hatzalah Borough Park","Hatzalah BoroPrk","167.9 PL",,FMN,RM,"EMS Dispatch"
153.830000,0.00000,WPFS461,Fireground,"Vehicular Repeater System","FDNY VRS",,,FMN,M,Fire-Tac
153.920000,0.00000,WXP373,"Other Services","Central Park Zoo","CP Zoo",,,FMN,RM,"Public Works"
153.965000,0.00000,,"Unified Court System","Criminal Court",CrimnlCrtNYC,,,FMN,M,"Law Tac"
154.010000,0.00000,,"Unified Court System","Supreme Court - Panic Button Voice Alarm",SuprmCrtNYC,,,FMN,M,"Law Tac"
154.190000,0.00000,KED962,Dispatch,"Bronx/Staten Island Dispatch (VHF)","FDNY BX/SI VHF","186.2 PL",,FMN,B,"Fire Dispatch"
154.220000,0.00000,"WQRU862 ","Volunteer Fire Departments","Edgewater Park FD","Edgewater Pk FD","627 DPL",,FMN,BM,"Fire Dispatch"
154.250000,0.00000,WRQZ787,Dispatch,"Manhattan Dispatch (VHF)","FDNY MN VHF","186.2 PL",,FMN,B,"Fire Dispatch"
154.370000,0.00000,KEB525,Dispatch,"Brooklyn Dispatch (VHF)","FDNY BK VHF","186.2 PL",,FMN,B,"Fire Dispatch"
154.400000,0.00000,KEB526,Dispatch,"Queens Dispatch (VHF)","FDNY QN VHF","186.2 PL",,FMN,B,"Fire Dispatch"
154.600000,0.00000,,"Airports Parking","5-Star Parking Ch. 2","5-Star 2",,,FMN,RM,Business
154.785000,0.00000,,"Unified Court System","Supreme Court - Court Officers for Lower Courts",SuprmCrtNYC,,,FMN,M,"Law Tac"
154.870000,0.00000,,"Unified Court System","Supreme Court - Court Officers for Supreme Court",SuprmCrtNYC,,,FMN,M,"Law Tac"
155.070000,0.00000,KVH287,"Office of Mental Health","South Beach Psychiatric","South Bch Psyc ",,,FMN,BM,"Public Works"
155.280000,0.00000,WRL477,EMS,"Throggs Neck Volunteer Ambulance","Throggs Neck EMS","110.9 PL",,FMN,BM,"EMS Dispatch"
155.355000,150.77500,WPLW539,EMS,"Central Park Medical Unit - Main","CPMU Main","506 DPL",,FMN,RM,"EMS Dispatch"
156.105000,0.00000,KRB407,"Transit Authority","Signal Department",Signals,"67.0 PL",,FMN,M,Transportation
156.135000,159.04500,WPAU882,"Office of Mental Health","Institute for Basic Research","Institute for BR",,,FMN,RM,"Public Works"
156.375000,0.00000,,"Attractions Liberty Cruises",Operations,"Liberty Cruises",,,FMN,BM,Business
156.625000,0.00000,,"Other Services","NYC Ferry","NYC Ferry",CSQ,,FM,BM,Transportation
156.950000,0.00000,KEJ237,"Other Services","Staten Island Ferry","SI Ferry Ops",CSQ,,FM,RM,Transportation
159.000000,0.00000,WPZK416,"Office of Mental Health","Staten Island Developmental Center","SI Develop Cntr",,,FMN,M,"Public Works"
159.825000,0.00000,WQGG917,"Businesses Taxi and Limo Services","Unity Car and Limo","Unity Car ","114.8 PL",,FMN,BM,Transportation
159.990000,0.00000,WQLL675,"Businesses Taxi and Limo Services","Jamaica Express/Sunshine Car Service","Jamaica Expr","032 DPL",,FMN,BM,Transportation
160.200000,0.00000,WNKK898,Hatzalah,"Hatzalah EMS Ch 2 (Alt Dispatch)","Hatzalah EMS Ch2","167.9 PL",,FMN,BM,EMS-Tac
160.280000,0.00000,KFM561,Hatzalah,"Hatzalah EMS Dispatch (Simulcast)","Hatzalah EMS","167.9 PL",,FMN,BM,"EMS Dispatch"
160.845000,0.00000,,"Transit Authority",Yard,Yard,"127.3 PL",,FMN,M,Transportation
161.190000,158.88000,WNGX516,"Transit Authority","IRT Subway","IRT Subway","127.3 PL",,FMN,BM,Transportation
161.505000,158.77500,KTA927,"Transit Authority","BMT Subway","BMT Subway","127.3 PL",,FMN,BM,Transportation
161.565000,158.80500,KTA927,"Transit Authority","IND Subway","IND Subway","127.3 PL",,FMN,BM,Transportation
161.670000,0.00000,KEK322,"Media Radio and Television","WNBC-TV Assignment Desk","WNBC-TV 4","331 DPL",,FMN,BM,Media
162.325000,0.00000,,"Federal United States Coast Guard","NET-111 Sector New York","USCG NET-111","293 NAC",,P25e,BM,Federal
163.175000,0.00000,,"Federal United States Coast Guard",Cutters,"USCG Cutters",,,FMN,M,Federal
163.375000,0.00000,,"Federal United States Postal Service","Truck Operations-Manhattan","Truck Ops Mn","065 DPL",,FMN,M,Federal
164.337500,0.00000,,"Federal United States Postal Service","Brooklyn Control",USPSBrooklyn,"251 DPL",,FMN,M,Federal
164.475000,0.00000,,"Federal Interoperability","NYC Federal Interoperability","NYC FIO","653 NAC",,P25e,M,Federal
164.912500,0.00000,,"Federal United States Coast Guard","Sector New York","USCG NY",,,FMN,BM,Federal
165.237500,0.00000,,"Federal Customs and Border Protection","Customs Net 1 - New York Sector","Customs Net1","301 NAC",,P25e,BM,Federal
166.375000,0.00000,,"Federal United States Postal Service","Manhattan Vehicle Maintenance Facility","VMF NY","065 DPL",,FMN,M,Federal
166.750000,0.00000,,"Federal Interoperability","NYC Federal Interoperability","NYC FIO","653 NAC",,P25e,M,Federal
166.887500,0.00000,,"Federal Diplomatic Security Service","United Nations Security","UN Security","103.5 PL",,FMN,BM,Federal
167.150000,0.00000,,"Federal Federal Bureau of Investigation","Channel E1","FBI E1","167 NAC",,P25e,M,Federal
167.312500,0.00000,,"Federal United States Marshals Service","Southern District of NY Special Security Officer","USMS SDNY SSO","293 NAC",,P25,BM,Federal
167.350000,0.00000,,"Federal Interoperability","NYC Federal Interoperability","NYC FIO","653 NAC",,P25e,M,Federal
167.362500,0.00000,,"Federal Federal Bureau of Investigation","Channel A5/A6","FBI A5/A6","167 NAC",,P25e,M,Federal
167.437500,0.00000,,"Federal Federal Bureau of Investigation","Channel F3/F4","FBI F3/F4","167 NAC",,P25e,M,Federal
167.475000,0.00000,,"Federal United States Marshals Service","Marshals NYC","USMS NYC","864 NAC",,P25,M,Federal
167.487500,0.00000,,"Federal Federal Bureau of Investigation","Channel F1/F2","FBI F1/F2","167 NAC",,P25e,M,Federal
167.562500,0.00000,,"Federal Federal Bureau of Investigation","Channel D4","FBI D4","167 NAC",,P25e,M,Federal
167.787500,164.73750,,"Federal Interoperability","NYC Federal Interoperability 1","NYC FIO 1","653 NAC",,P25e,RM,Federal
168.225000,0.00000,,"Federal Federal Bureau of Investigation","Channel G1/G2","FBI G1/G2","167 NAC",,P25e,M,Federal
168.300000,0.00000,,"Federal Federal Bureau of Investigation","Channel H3/H4","FBI H3/H4","167 NAC",,P25e,M,Federal
168.612500,0.00000,,"Federal Statue of Liberty National Monument","Liberty/Ellis Island 5","NPS Liberty5","293 NAC",,P25,M,Federal
168.662500,0.00000,,"Federal Interoperability","NYC Federal Interoperability","NYC FIO","653 NAC",,P25e,M,Federal
168.825000,0.00000,,"Federal Federal Bureau of Investigation","Channel H1/H2","FBI H1/H2","167 NAC",,P25e,M,Federal
169.112500,0.00000,,"Federal United States Postal Service",Carriers,"USPS Carrier","110.9 PL",,FMN,RM,Federal
169.412500,0.00000,,"Airports Federal","Customs and Border Patrol",Customs,"301 NAC",,P25E,RM,Federal
169.450000,0.00000,,"Federal Customs and Border Protection","Customs Net 2","Customs Net2","301 NAC",,P25e,M,Federal
169.650000,0.00000,,"Federal Statue of Liberty National Monument","Liberty/Ellis Island","NPS Librty/Ellis","4F9 NAC",,P25E,RM,Federal
169.700000,0.00000,,"Federal United States Marshals Service","Marshals NYC","USMS NYC","864 NAC",,P25,M,Federal
169.725000,0.00000,,"Federal United States Marshals Service","Downtown Manhattan","USMS Manhatt","864 NAC",,P25,M,Federal
169.825000,0.00000,,"Federal Gateway National Recreation Area","Gateway National Recreation Area","NPS Gateway","225 NAC",,P25,RM,Federal
169.987500,162.16250,,"Federal Statue of Liberty National Monument","Liberty/Ellis Island 4","NPS Liberty4","4F9 NAC",,P25,RM,Federal
170.425000,0.00000,,"Federal Federal Bureau of Investigation","Channel G3/G4","FBI G3/G4","167 NAC",,P25e,M,Federal
170.450000,0.00000,,"Federal Federal Bureau of Investigation","Channel H5/H6","FBI H5/H6","167 NAC",,P25e,M,Federal
170.625000,0.00000,,"Federal Federal Bureau of Investigation","Channel C7/C8","FBI C7/C8","167 NAC",,P25e,M,Federal
170.825000,0.00000,,"Federal Federal Bureau of Prisons",Operations,"BOP NYC","167.9 PL",,FMN,M,Federal
170.825000,0.00000,,"Federal Federal Bureau of Investigation","Channel B7/B8","FBI B7/B8","167 NAC",,P25e,M,Federal
170.900000,0.00000,,"Federal Federal Bureau of Investigation","Channel C5/C6","FBI C5/C6","167 NAC",,P25e,M,Federal
171.112500,0.00000,,"Federal Interoperability","NYC Federal Interoperability","NYC FIO","653 NAC",,P25e,M,Federal
171.175000,162.28750,,"Federal Interoperability","NYC Federal Interoperability 2","NYC FIO 2","653 NAC",,P25e,RM,Federal
171.225000,0.00000,,"Federal United States Marshals Service","Marshals NYC","USMS NYC","864 NAC",,P25,M,Federal
171.662500,0.00000,,"Federal Immigration and Customs Enforcement","Immigration and Customs","CBP ICE","9C5 NAC",,P25E,BM,Federal
171.687500,0.00000,,"Federal Immigration and Customs Enforcement","Immigration and Customs","CBP ICE","9C5 NAC",,P25E,BM,Federal
172.287500,0.00000,,"Federal Interoperability","NYC Federal Interoperability","NYC FIO","653 NAC",,P25e,M,Federal
172.400000,0.00000,,"Federal Federal Bureau of Investigation","Channel A3/A4","FBI A3/A4","167 NAC",,P25e,M,Federal
172.425000,0.00000,,"Federal Federal Bureau of Investigation","Channel B5/B6","FBI B5/B6","167 NAC",,P25e,M,Federal
172.475000,0.00000,,"Federal Federal Bureau of Investigation","Channel B3/B4","FBI B3/B4","167 NAC",,P25e,M,Federal
172.525000,0.00000,,"Federal Federal Bureau of Investigation","Channel B1/B2","FBI B1/B2","167 NAC",,P25e,M,Federal
172.600000,0.00000,,"Federal Federal Bureau of Investigation","Channel E5","FBI E5","167 NAC",,P25e,M,Federal
172.825000,0.00000,,"Federal Federal Aviation Administration","FAA JFK/NY TRACON OPS","FAA JKF TRAC","293 NAC",,P25,BM,Federal
172.900000,0.00000,,"Airports Federal",TSA,TSA,"001 NAC",,P25,RM,Federal
172.900000,0.00000,,"Airports Federal","Transportation Security Administration (TSA)",TSA,"001 NAC",,P25,RM,Federal
173.662500,0.00000,,"Federal Federal Bureau of Investigation","Channel A1/A2","FBI A1/A2","167 NAC",,P25e,M,Federal
173.812500,0.00000,,"Federal Federal Bureau of Investigation","Channel C9","FBI C9","167 NAC",,P25e,M,Federal
224.100000,222.50000,KC2GOW,"1.25m Ham","KC2GOW Staten Island","KC2GOW SI",,"141.3 PL",FM,RM,Ham
263.000000,0.00000,,"Airports Air Traffic Control","LGA Tower","LGA Tower",,,AM,BM,Aircraft
281.550000,0.00000,,"Airports Air Traffic Control","JFK Tower","JFK Tower ",,,AM,BM,Military
348.600000,0.00000,,"Airports Air Traffic Control","JFK Ground Control","JFK Ground Ctrl",,,AM,BM,Military
380.075000,0.00000," ","Joint National Capital Region","Site 001 Fort Hamilton",,,,"Project 25",,TRS
380.275000,0.00000," ","Joint National Capital Region","Site 001 Fort Hamilton",,,,"Project 25",,TRS
380.425000,0.00000," ","Joint National Capital Region","Site 001 Fort Hamilton",,,,"Project 25",,TRS
380.575000,0.00000," ","Joint National Capital Region","Site 001 Fort Hamilton",,,,"Project 25",,TRS
380.725000,0.00000," ","Joint National Capital Region","Site 001 Fort Hamilton",,,,"Project 25",,TRS
406.150000,0.00000,,"Federal Department of Veterans Affairs","Brooklyn Campus","VA Brooklyn","293 NAC",,P25,M,Federal
406.200000,0.00000,,"Federal Federal Protective Service","Federal Protective Service",FPS,"270 NAC",,P25,BM,Federal
406.337500,0.00000,,"Federal United States Postal Service","Inspector Red Net","USPS RED","482 NAC",,P25,RM,Federal
406.500000,0.00000," ","Metropolitan Detention Center Brooklyn","Site 001 MDC Brooklyn",,,,Motorola,,TRS
